,0_start,1_start,2_start,3_start,4_start,5_start,6_start,7_start,8_start,9_start,10_start,11_start,12_start,13_start,14_start,15_start,16_start,17_start,18_start,19_start,20_start,21_start,22_start,23_start,0_end,1_end,2_end,3_end,4_end,5_end,6_end,7_end,8_end,9_end,10_end,11_end,12_end,13_end,14_end,15_end,16_end,17_end,18_end,19_end,20_end,21_end,22_end,23_end
Glenwood Ave,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Washington St,0,0,0,0,0,1,1,0,3,1,1,1,2,1,1,1,2,9,6,3,2,2,0,0,0,0,0,0,0,0,1,4,9,1,3,1,1,1,0,3,0,1,3,3,1,1,0,0
Marshall St & 2 St,0,0,0,0,0,1,0,1,4,0,1,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,8,1,3,0,1,0
Grand St,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,2,4,3,6,3,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,6,1,0,2,1,6,2,4,0,1,0,0
Bloomfield St & 15 St,0,0,0,0,0,1,1,1,2,0,1,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,3,2,0,0,3,0,0
Jersey & 6th St,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,7,5,2,1,0,0
Harborside,0,0,0,0,0,1,0,1,1,1,1,0,1,2,0,1,1,12,8,2,0,0,1,0,0,0,0,0,0,0,1,0,3,6,0,1,0,0,1,0,1,2,7,3,0,0,1,0
Grove St PATH,0,0,0,0,0,1,1,1,3,1,2,2,2,4,1,2,5,27,33,20,8,4,2,0,0,0,0,0,1,3,6,17,33,2,7,6,2,6,0,0,3,7,19,17,2,4,1,0
4 St & River St,0,0,0,0,0,1,2,2,1,0,0,1,0,2,2,3,3,4,4,3,1,4,0,0,0,0,0,0,0,0,1,0,4,1,1,0,1,0,0,4,4,3,3,6,1,0,0,0
Church Sq Park - 5 St & Park Ave,0,0,0,0,0,1,1,1,1,2,1,1,1,2,2,1,3,2,6,2,2,0,0,1,0,0,0,0,1,0,0,3,5,0,5,0,3,1,3,1,2,2,1,2,0,0,0,2
Clinton St & Newark St,0,0,0,0,0,0,3,2,4,1,1,0,2,1,2,0,1,2,2,2,1,1,0,1,0,0,0,0,1,1,0,1,5,1,1,0,1,1,1,1,4,2,4,3,2,1,0,0
11 St & Washington St,0,0,0,0,0,0,2,1,1,1,1,1,2,0,1,1,4,3,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,0,3,2,5,2,1,1,0,0,0
Hamilton Park,0,0,0,0,0,0,2,7,9,4,2,2,1,3,0,4,2,5,4,1,1,1,2,0,0,0,0,0,0,1,0,1,3,1,2,3,2,0,2,2,5,6,7,4,3,2,0,1
